Title,Category,Status,Priority,StartDate,EndDate,IssueType,Severity,Environment,Description,CreatedAt,UpdatedAt,AssignedTo,TestRunID
Improve checkout process,Bug,In Progress,High,8/21/2022,10/7/2023,Functionality,Minor,Staging,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2021-01-26T16:48:41Z,2022-07-20T19:59:40Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Optimize database queries,Improvement,Closed,Medium,2/27/2023,2/28/2023,UI/Design,Major,Production,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",2021-02-22T15:23:12Z,2023-04-18T04:15:29Z,666011d01cc6e634de0ff70d,6660219ed70be
Add tracking code for user interactions,Improvement,In Progress,Medium,8/14/2023,6/26/2024,Server Error,Critical,Staging,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2022-08-30T22:44:44Z,2024-02-20T02:26:22Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Update error messages for login,Improvement,In Progress,High,5/5/2023,3/4/2023,Performance,Critical,Development,Phasellus in felis. Donec semper sapien a libero.,2021-09-02T14:06:27Z,2022-07-18T02:01:26Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Fix server error on checkout,Improvement,Closed,Medium,4/25/2023,11/5/2022,Tracking,Critical,Development,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2021-01-31T09:19:06Z,2023-09-22T13:07:04Z,666011d01cc6e634de0ff70d,6660219ed70be
Add tracking code for user interactions,Task,In Progress,High,9/5/2023,11/8/2023,Functionality,Major,QA,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,2021-05-27T18:05:08Z,2022-11-27T19:19:06Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad8
Improve search functionality,Improvement,Open,Medium,12/26/2022,1/26/2024,Tracking,Critical,Production,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,2022-03-28T02:45:29Z,2024-03-07T05:33:43Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae5
Implement pagination for search results,Improvement,In Progress,High,8/26/2022,2/23/2023,Server Error,Critical,Development,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2021-12-19T19:33:06Z,2022-03-15T18:38:06Z,665f39f9eef319f64ee080f6,6660219ed70be
Update UI design for homepage,Task,Open,Medium,8/3/2023,11/17/2022,Server Error,Minor,Production,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2022-11-22T15:57:30Z,2023-09-16T14:00:25Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae1
Optimize database queries,Bug,In Progress,High,8/14/2022,12/16/2022,Server Error,Minor,Staging,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",2022-02-20T00:02:03Z,2024-05-30T20:41:09Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Update UI design for homepage,Task,In Progress,Medium,3/12/2023,8/2/2024,Tracking,Major,QA,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2021-12-13T15:08:49Z,2024-02-05T05:20:06Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Improve checkout process,Task,Open,High,9/6/2022,3/5/2024,Tracking,Minor,Production,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2021-02-28T19:16:13Z,2022-09-22T13:27:46Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad9
Fix broken links on product details page,Bug,Closed,Medium,8/14/2023,2/21/2023,Server Error,Minor,Production,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",2021-06-26T20:09:41Z,2024-07-25T20:20:16Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Improve checkout process,Task,Open,Medium,7/23/2023,5/26/2023,Performance,Major,Staging,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2021-09-24T04:35:55Z,2022-12-23T06:19:16Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Optimize database queries,Bug,In Progress,High,4/18/2023,7/22/2023,Tracking,Major,QA,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2022-10-14T21:14:58Z,2022-11-14T05:55:42Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Login button not responsive,Improvement,Open,High,7/14/2023,5/11/2024,Tracking,Major,Development,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2022-03-30T14:56:16Z,2022-10-05T12:23:30Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Improve search functionality,Task,Closed,Low,1/25/2023,5/8/2024,Tracking,Minor,Staging,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2021-04-20T06:18:07Z,2022-06-16T03:50:20Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Update error messages for login,Improvement,Open,Low,3/3/2023,11/19/2023,SEO,Minor,Development,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",2022-03-07T19:32:24Z,2022-09-16T17:03:37Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae1
Fix broken links on product details page,Task,Open,Low,8/9/2023,2/22/2023,Performance,Critical,Production,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2021-11-17T14:41:23Z,2023-07-12T09:06:50Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad9
Improve checkout process,Bug,Closed,Low,8/18/2022,12/31/2023,Tracking,Critical,Staging,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,2022-07-03T10:06:20Z,2022-08-02T06:16:10Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae2
Fix server error on checkout,Task,Open,High,2/25/2023,5/14/2023,Console Error,Minor,Staging,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2021-03-04T05:34:08Z,2023-09-29T15:02:39Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Improve search functionality,Task,Closed,Medium,8/3/2023,12/7/2023,Tracking,Major,Staging,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2022-01-09T21:41:44Z,2022-02-13T22:56:47Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad9
Update UI design for homepage,Improvement,In Progress,Medium,5/27/2023,4/29/2023,Server Error,Major,QA,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",2022-01-18T14:14:39Z,2023-03-25T19:56:49Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Update error messages for login,Improvement,In Progress,High,7/7/2023,10/25/2023,Tracking,Major,Staging,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,2021-04-25T08:27:48Z,2022-08-24T05:34:55Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Optimize database queries,Task,In Progress,Low,5/2/2023,1/13/2023,Console Error,Minor,Development,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",2022-12-19T11:22:03Z,2024-06-02T18:29:35Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Update UI design for homepage,Bug,In Progress,Medium,11/26/2022,7/27/2023,Server Error,Minor,QA,Ut at dolor quis odio consequat varius. Integer ac leo.,2021-12-07T16:38:34Z,2023-10-08T14:36:33Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae0
Fix broken links on product details page,Task,Closed,High,9/13/2023,11/18/2022,SEO,Minor,QA,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2022-07-11T19:41:47Z,2022-10-08T00:44:49Z,665f39f9eef319f64ee080f6,6660219ed70be
Optimize database queries,Task,Closed,Low,2/5/2023,1/14/2024,Console Error,Minor,Production,In sagittis dui vel nisl. Duis ac nibh.,2022-06-20T00:38:58Z,2022-05-31T12:41:12Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae0
Improve search functionality,Task,Open,Medium,2/27/2023,3/31/2023,Functionality,Critical,Production,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2022-05-19T15:16:15Z,2023-02-16T08:48:48Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Login button not responsive,Bug,In Progress,Medium,4/9/2023,12/26/2022,UI/Design,Minor,QA,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,2021-08-28T08:09:43Z,2022-09-20T14:21:27Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Product image not loading on details page,Improvement,In Progress,Low,10/1/2022,5/11/2024,SEO,Critical,Staging,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",2021-04-06T10:53:32Z,2022-05-28T21:36:21Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Update UI design for homepage,Improvement,Closed,High,10/2/2022,1/3/2023,Tracking,Major,Staging,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2022-03-29T12:57:44Z,2022-07-31T16:22:53Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae1
Fix server error on checkout,Improvement,Open,High,4/29/2023,6/24/2023,Console Error,Major,Development,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",2021-11-20T11:33:18Z,2024-06-02T20:19:19Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae0
Product image not loading on details page,Task,Open,Low,2/1/2023,1/23/2024,Functionality,Minor,QA,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2022-09-12T03:16:11Z,2024-02-29T11:06:29Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae1
Update UI design for homepage,Bug,In Progress,Low,12/26/2022,12/26/2022,Performance,Major,Production,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2021-03-29T06:01:10Z,2024-02-10T14:04:23Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Implement pagination for search results,Bug,Open,High,8/20/2023,1/4/2024,Tracking,Minor,Staging,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",2022-07-27T21:53:06Z,2023-07-16T21:42:44Z,665f39f9eef319f64ee080f6,6660219ed70be
Implement pagination for search results,Bug,In Progress,Low,7/5/2023,2/27/2023,Tracking,Minor,QA,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2021-06-19T00:26:09Z,2022-03-24T08:53:34Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Add tracking code for user interactions,Bug,Open,Medium,9/20/2023,10/6/2023,Functionality,Major,Staging,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,2021-11-19T16:09:10Z,2023-03-19T19:43:21Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae0
Update UI design for homepage,Improvement,Open,Medium,11/10/2022,2/1/2023,UI/Design,Major,Production,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",2021-03-24T08:29:25Z,2023-07-26T20:01:11Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae0
Improve search functionality,Improvement,In Progress,High,4/20/2023,7/15/2023,UI/Design,Critical,Production,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2022-08-20T04:17:38Z,2024-02-16T22:53:08Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae0
Improve search functionality,Improvement,In Progress,Low,8/12/2022,8/4/2023,Performance,Minor,Staging,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",2021-03-27T06:45:56Z,2023-10-31T00:16:31Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae8
Product image not loading on details page,Task,In Progress,Medium,4/10/2023,12/13/2023,Functionality,Major,QA,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2022-05-27T07:53:29Z,2022-05-27T10:07:57Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Fix broken links on product details page,Bug,Closed,Low,5/24/2023,8/8/2023,Functionality,Minor,Staging,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2022-12-22T04:18:52Z,2024-04-29T05:17:28Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Add tracking code for user interactions,Improvement,Open,Medium,2/9/2023,5/13/2024,Functionality,Minor,Production,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,2022-10-15T22:15:33Z,2024-07-14T21:38:59Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae5
Product image not loading on details page,Task,Closed,High,4/2/2023,1/4/2024,Performance,Major,Staging,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,2021-04-30T11:04:34Z,2022-06-04T11:32:26Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Add tracking code for user interactions,Improvement,In Progress,High,11/6/2022,4/12/2023,UI/Design,Minor,Production,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",2021-09-03T15:27:49Z,2024-01-13T23:30:59Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Optimize database queries,Task,Closed,Low,5/16/2023,10/8/2023,Console Error,Major,Staging,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2022-08-31T20:15:18Z,2022-08-13T02:03:16Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ad8
Add tracking code for user interactions,Bug,Closed,Medium,11/21/2022,7/28/2023,UI/Design,Critical,Staging,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",2022-02-27T21:06:37Z,2024-04-11T10:55:02Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae9
Implement pagination for search results,Improvement,Closed,Low,3/19/2023,3/11/2023,Functionality,Major,QA,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2022-06-09T12:55:20Z,2024-03-04T06:47:19Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae5
Fix server error on checkout,Task,Closed,High,12/27/2022,2/17/2023,UI/Design,Minor,Staging,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2021-06-23T14:12:34Z,2023-08-09T15:23:19Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae5
Optimize database queries,Improvement,Open,Medium,12/14/2022,8/17/2024,SEO,Critical,Staging,Nunc rhoncus dui vel sem. Sed sagittis.,2021-02-27T09:03:14Z,2024-08-15T19:57:54Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Improve search functionality,Task,Open,Medium,4/7/2023,10/20/2022,Console Error,Minor,Production,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",2021-11-21T02:30:27Z,2023-08-02T23:00:29Z,666011d01cc6e634de0ff70d,6660219ed70be
Improve search functionality,Improvement,In Progress,Low,11/17/2022,11/10/2023,Tracking,Major,Staging,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",2021-01-26T03:05:01Z,2024-01-07T17:38:52Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
Add tracking code for user interactions,Improvement,In Progress,Medium,7/17/2023,5/23/2024,SEO,Critical,Production,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2021-07-05T13:51:14Z,2023-05-25T20:26:09Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ade
Add tracking code for user interactions,Bug,Open,Medium,6/21/2023,3/13/2023,Functionality,Critical,Production,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2021-02-16T08:26:04Z,2022-04-09T06:44:21Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad8
Implement pagination for search results,Task,Open,Medium,8/29/2022,3/18/2023,Functionality,Minor,Development,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,2022-12-01T14:12:31Z,2022-11-12T15:14:47Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae5
Fix broken links on product details page,Task,Open,Medium,3/26/2023,9/11/2023,Functionality,Minor,Development,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",2022-06-12T01:29:23Z,2022-09-25T22:36:42Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae9
Update error messages for login,Improvement,Closed,Low,3/4/2023,3/12/2023,SEO,Minor,Staging,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2021-08-15T23:21:00Z,2023-01-16T07:06:49Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae1
Improve checkout process,Task,Closed,High,8/12/2023,6/13/2024,Server Error,Minor,Development,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,2022-07-17T21:48:39Z,2023-12-11T11:29:52Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adb
Improve search functionality,Improvement,Closed,High,1/11/2023,11/20/2023,UI/Design,Minor,Development,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2021-12-01T14:00:06Z,2022-05-15T14:19:01Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae0
Add tracking code for user interactions,Improvement,Open,Medium,8/6/2022,8/13/2024,SEO,Critical,Development,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2021-03-31T22:43:56Z,2022-04-08T01:24:08Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae3
Product image not loading on details page,Task,In Progress,High,5/11/2023,9/8/2023,SEO,Major,Production,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2022-06-28T20:18:12Z,2022-09-26T02:00:50Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6adb
Login button not responsive,Improvement,In Progress,Medium,5/16/2023,5/2/2023,Console Error,Critical,Development,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",2022-11-16T18:00:19Z,2022-05-27T21:20:10Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ad8
Implement pagination for search results,Task,Open,Low,6/21/2023,5/28/2024,Functionality,Major,Development,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2021-01-17T16:41:07Z,2022-03-30T15:27:40Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6adf
Fix server error on checkout,Task,Closed,Low,5/2/2023,8/15/2024,Console Error,Minor,Staging,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2022-01-31T21:00:36Z,2022-04-21T06:34:38Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae7
Fix server error on checkout,Bug,Open,Medium,12/21/2022,9/19/2023,UI/Design,Critical,Staging,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2022-08-30T19:41:15Z,2023-10-08T20:43:33Z,665f39f9eef319f64ee080f6,6660219ed70bea06e9ff6ae4
Improve search functionality,Improvement,Open,High,6/29/2023,2/6/2024,Functionality,Major,QA,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",2021-07-10T02:37:59Z,2024-07-06T16:50:37Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae3
Login button not responsive,Improvement,In Progress,Low,3/24/2023,10/27/2022,Console Error,Minor,Staging,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2021-02-25T09:52:27Z,2022-03-04T20:37:49Z,666011d01cc6e634de0ff70d,6660219ed70bea06e9ff6ae2
